"_id","CRASH DATE","CRASH TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","URL","avg_rain"
"5fcd3679ddd31d1b446f04ed","2016-12-31","22:52","BROOKLYN","11210","40.632885","-73.94771",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-31&enddate=2016-12-31&locationid=CITY:US360019",0.97
"5fcd3679ddd31d1b446f04ee","2017-01-02","12:50","BROOKLYN","11230","40.626568","-73.970924",1,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-02&enddate=2017-01-02&locationid=CITY:US360019",13.25
"5fcd3679ddd31d1b446f04f1","2016-12-24","14:44","MANHATTAN","10016","40.74608","-73.974945",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-24&enddate=2016-12-24&locationid=CITY:US360019",46.44
"5fcd3679ddd31d1b446f04f4","2017-01-20","12:30","QUEENS","11106","40.768692","-73.935814",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-20&enddate=2017-01-20&locationid=CITY:US360019",4.97
"5fcd3679ddd31d1b446f04f5","2017-01-13","20:00","QUEENS","11354","40.75732","-73.834015",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-13&enddate=2017-01-13&locationid=CITY:US360019",1.94
"5fcd3679ddd31d1b446f04f7","2017-01-07","20:30","QUEENS","11367","40.717674","-73.81713",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-07&enddate=2017-01-07&locationid=CITY:US360019",10.16
"5fcd3679ddd31d1b446f04fa","2017-01-06","14:50","BRONX","10461","40.846146","-73.841835",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-06&enddate=2017-01-06&locationid=CITY:US360019",9.92
"5fcd3679ddd31d1b446f04fb","2017-01-07","3:00","QUEENS","11101","40.74135","-73.937096",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-07&enddate=2017-01-07&locationid=CITY:US360019",10.16
"5fcd3679ddd31d1b446f04fc","2017-01-09","23:00","MANHATTAN","10011","40.74044","-73.9946",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-09&enddate=2017-01-09&locationid=CITY:US360019",2.51
"5fcd3679ddd31d1b446f04fd","2017-01-11","18:07","BROOKLYN","11206","40.699997","-73.95723",1,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-11&enddate=2017-01-11&locationid=CITY:US360019",71.16
"5fcd3679ddd31d1b446f04fe","2017-01-06","20:30","BROOKLYN","11236","40.639458","-73.90513",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-06&enddate=2017-01-06&locationid=CITY:US360019",9.92
"5fcd3679ddd31d1b446f0503","2017-01-10","15:40","BROOKLYN","11223","40.598312","-73.96119",1,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-10&enddate=2017-01-10&locationid=CITY:US360019",0.74
"5fcd3679ddd31d1b446f0505","2017-01-18","14:34","BRONX","10467","40.881073","-73.878494",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-18&enddate=2017-01-18&locationid=CITY:US360019",119.75
"5fcd3679ddd31d1b446f0506","2016-12-31","18:40","QUEENS","11694","40.576656","-73.85924",1,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-31&enddate=2016-12-31&locationid=CITY:US360019",0.97
"5fcd3679ddd31d1b446f0507","2017-01-12","5:12","BRONX","10459","40.817875","-73.89333",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-12&enddate=2017-01-12&locationid=CITY:US360019",74.45
"5fcd3679ddd31d1b446f0509","2017-01-18","14:30","BROOKLYN","11210","40.63465","-73.93727",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-18&enddate=2017-01-18&locationid=CITY:US360019",119.75
"5fcd3679ddd31d1b446f050a","2016-12-30","12:00","QUEENS","11413","40.680115","-73.75324",1,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-30&enddate=2016-12-30&locationid=CITY:US360019",93.06
"5fcd3679ddd31d1b446f050b","2017-01-13","7:40","STATEN ISLAND","10308","40.552296","-74.159996",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-13&enddate=2017-01-13&locationid=CITY:US360019",1.94
"5fcd3679ddd31d1b446f050e","2016-12-29","6:50","MANHATTAN","10014","40.72983","-74.010666",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-29&enddate=2016-12-29&locationid=CITY:US360019",16.9
"5fcd3679ddd31d1b446f050f","2017-01-10","10:36","MANHATTAN","10026","40.80016","-73.946846",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-10&enddate=2017-01-10&locationid=CITY:US360019",0.74
"5fcd3679ddd31d1b446f0510","2017-01-22","8:30","STATEN ISLAND","10301","40.621235","-74.09776",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-22&enddate=2017-01-22&locationid=CITY:US360019",2.03
"5fcd3679ddd31d1b446f0512","2016-12-24","20:00","QUEENS","11367","40.726685","-73.82183",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-24&enddate=2016-12-24&locationid=CITY:US360019",46.44
"5fcd3679ddd31d1b446f0515","2016-12-25","5:40","QUEENS","11368","40.75714","-73.86558",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-25&enddate=2016-12-25&locationid=CITY:US360019",78.6
"5fcd3679ddd31d1b446f0518","2016-12-31","8:35","BRONX","10466","40.890915","-73.858765",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-31&enddate=2016-12-31&locationid=CITY:US360019",0.97
"5fcd3679ddd31d1b446f0519","2017-01-19","19:15","QUEENS","11432","40.715023","-73.80765",1,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-19&enddate=2017-01-19&locationid=CITY:US360019",2.96
"5fcd3679ddd31d1b446f051e","2017-01-04","15:50","BROOKLYN","11207","40.661728","-73.88331",1,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-04&enddate=2017-01-04&locationid=CITY:US360019",111.67
"5fcd3679ddd31d1b446f051f","2016-12-25","11:45","QUEENS","11101","40.75379","-73.91548",1,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-25&enddate=2016-12-25&locationid=CITY:US360019",78.6
"5fcd3679ddd31d1b446f0520","2017-01-09","9:00","BROOKLYN","11222","40.720886","-73.94087",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-09&enddate=2017-01-09&locationid=CITY:US360019",2.51
"5fcd3679ddd31d1b446f0527","2017-01-20","8:20","STATEN ISLAND","10310","40.631134","-74.12794",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-20&enddate=2017-01-20&locationid=CITY:US360019",4.97
